Tiempo ,YAW,PITCH,E_YAW,E_PITCH
-0.4,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,18.7
0.06,0.0,0.0,0.0,18.7
0.08,0.0,0.0,0.0,18.7
0.1,0.002,0.0,0.0,18.7
0.12,0.003,0.0,0.0,18.7
0.14,0.005,0.0,0.0,18.7
0.16,0.007,0.0,0.0,18.7
0.18,0.009,0.0,0.0,18.7
0.2,0.01,0.002,0.0,18.7
0.22,0.014,0.002,0.0,18.7
0.24,0.016,0.019,0.0,18.7
0.26,0.017,0.003,0.0,18.7
0.28,0.021,0.005,0.0,18.7
0.3,0.023,0.009,0.0,18.7
0.32,0.026,0.01,0.0,18.7
0.34,0.028,0.016,0.0,18.7
0.36,0.03,0.019,0.0,18.7
0.38,0.033,0.024,0.0,18.7
0.4,0.037,0.03,0.0,18.7
0.42,0.038,0.035,0.0,18.7
0.44,0.042,0.04,0.0,18.7
0.46,0.045,0.044,0.0,18.7
0.48,0.047,0.051,0.0,18.7
0.5,0.051,0.058,0.0,18.7
0.52,0.054,0.065,0.0,18.7
0.54,0.058,0.072,0.0,18.7
0.56,0.059,0.079,0.0,18.7
0.58,0.063,0.086,0.0,18.7
0.6,0.066,0.094,0.0,18.7
0.62,0.07,0.103,0.0,18.7
0.64,0.073,0.112,0.0,18.7
0.66,0.077,0.124,0.0,18.7
