Tiempo ,Entrada,ANGULO,POSICION
-0.4,0,0,0
-0.38,0,0,0
-0.36,0,0,0
-0.34,0,0,0
-0.32,0,0,0
-0.3,0,0,0
-0.28,0,0,0
-0.26,0,0,0
-0.24,0,0,0
-0.22,0,0,0
-0.2,0,0,0
-0.18,0,0,0
-0.16,0,0,0
-0.14,0,0,0
-0.12,0,0,0
-0.1,0,0,0
-0.08,0,0,0
-0.06,0,0,0
-0.04,0,0,0
-0.02,0,0,0
0,0,0,0
0.02,0,0,0
0.04,0.3,0,0
0.06,0.6,0,0
0.08,0.9,0,0
0.1,1.2,0,0
0.12,1.5,0,0
0.14,1.8,0,0
0.16,2.1,0,0
0.18,2.4,-0.002,0
0.2,2.7,-0.007,0.001
0.22,3,-0.014,0.001
0.24,3.3,-0.023,0.002
0.26,3.6,-0.035,0.002
0.28,3.9,-0.047,0.003
0.3,4.2,-0.059,0.004
0.32,4.5,-0.07,0.005
0.34,4.8,-0.061,0.004
0.36,5.1,-0.049,0.004
0.38,5.4,-0.07,0.006
0.4,5.7,-0.091,0.008
0.42,6,-0.11,0.009
0.44,6.3,-0.138,0.011
0.46,6.6,-0.157,0.014
0.48,6.9,-0.187,0.016
0.5,7.2,-0.211,0.019
0.52,7.5,-0.234,0.022
0.54,7.5,-0.26,0.024
0.56,7.5,-0.279,0.028
0.58,7.5,-0.304,0.031
0.6,7.5,-0.318,0.034
0.62,7.5,-0.332,0.037
0.64,7.5,-0.346,0.041
0.66,7.5,-0.347,0.044
0.68,7.5,-0.351,0.048
0.7,7.5,-0.349,0.051
0.72,7.5,-0.342,0.055
0.74,7.5,-0.332,0.058
0.76,7.5,-0.311,0.062
0.78,7.5,-0.293,0.066
0.8,7.5,-0.265,0.069
0.82,7.5,-0.234,0.073
0.84,7.5,-0.204,0.076
0.86,7.5,-0.168,0.08
0.88,7.5,-0.136,0.084
0.9,7.5,-0.094,0.087
0.92,7.5,-0.059,0.091
0.94,7.5,-0.017,0.095
0.96,7.5,0.023,0.098
0.98,7.5,0.058,0.102
1,7.5,0.098,0.106
1.02,7.5,0.133,0.11
1.04,7.5,0.171,0.113
1.06,7.5,0.206,0.117
1.08,7.5,0.234,0.121
1.1,7.5,0.26,0.124
1.12,7.5,0.278,0.128
1.14,7.5,0.302,0.132
1.16,7.5,0.319,0.135
1.18,7.5,0.328,0.139
1.2,7.5,0.337,0.143
1.22,7.5,0.333,0.147
1.24,7.5,0.332,0.15
1.26,7.5,0.326,0.154
1.28,7.5,0.311,0.158
1.3,7.5,0.3,0.161
1.32,7.5,0.272,0.165
1.34,7.5,0.248,0.169
1.36,7.5,0.215,0.173
1.38,7.5,0.182,0.177
1.4,7.5,0.152,0.18
1.42,7.5,0.112,0.184
1.44,7.5,0.073,0.188
1.46,7.5,0.03,0.192
1.48,7.5,-0.01,0.195
1.5,7.5,-0.045,0.199
1.52,7.5,-0.087,0.203
1.54,7.2,-0.122,0.207
1.56,6.9,-0.159,0.21
1.58,6.6,-0.194,0.214
1.6,6.3,-0.222,0.218
1.62,6,-0.248,0.221
1.64,5.7,-0.262,0.224
1.66,5.4,-0.274,0.228
1.68,5.1,-0.284,0.231
1.7,4.8,-0.284,0.234
1.72,4.5,-0.283,0.237
1.74,4.2,-0.272,0.24
1.76,3.9,-0.258,0.243
1.78,3.6,-0.236,0.245
1.8,3.3,-0.206,0.247
1.82,3,-0.175,0.25
1.84,2.7,-0.138,0.252
1.86,2.4,-0.096,0.254
1.88,2.1,-0.047,0.255
1.9,1.8,0,0.257
1.92,1.5,0.051,0.259
1.94,1.2,0.105,0.26
1.96,0.9,0.155,0.261
1.98,0.6,0.213,0.262
2,0.3,0.265,0.263
2.02,0,0.314,0.264
2.04,0,0.37,0.265
