Tiempo ,Entrada,ANGULO,POSICION
-0.4,0.0,0.0,0.0
-0.38,0.0,0.0,0.0
-0.36,0.0,0.0,0.0
-0.34,0.0,0.0,0.0
-0.32,0.0,0.0,0.0
-0.3,0.0,0.0,0.0
-0.28,0.0,0.0,0.0
-0.26,0.0,0.0,0.0
-0.24,0.0,0.0,0.0
-0.22,0.0,0.0,0.0
-0.2,0.0,0.0,0.0
-0.18,0.0,0.0,0.0
-0.16,0.0,0.0,0.0
-0.14,0.0,0.0,0.0
-0.12,0.0,0.0,0.0
-0.1,0.0,0.0,0.0
-0.08,0.0,0.0,0.0
-0.06,0.0,0.0,0.0
-0.04,0.0,0.0,0.0
-0.02,0.0,0.0,0.0
0.0,0.0,-0.0,-0.0
0.02,0.0,-0.0,-0.0
0.04,0.3,-0.0,-0.0
0.06,0.6,-0.0,-0.0
0.08,0.9,-0.0,-0.0
0.1,1.2,-0.0,-0.0
0.12,1.5,-0.0,-0.0
0.14,1.8,-0.0,-0.0
0.16,2.1,-0.0,0.0
0.18,2.4,-0.002,0.0
0.2,2.7,-0.003,0.0
0.22,3.0,-0.01,0.001
0.24,3.3,-0.019,0.001
0.26,3.6,-0.031,0.002
0.28,3.9,-0.042,0.003
0.3,4.2,-0.056,0.004
0.32,4.5,-0.066,0.004
0.34,4.8,-0.056,0.004
0.36,5.1,-0.044,0.004
0.38,5.4,-0.068,0.005
0.4,5.7,-0.089,0.007
0.42,6.0,-0.11,0.009
0.44,6.3,-0.141,0.011
0.46,6.6,-0.162,0.013
0.48,6.9,-0.194,0.016
0.5,7.2,-0.22,0.019
0.52,7.5,-0.246,0.022
0.54,7.5,-0.274,0.024
0.56,7.5,-0.293,0.028
0.58,7.5,-0.318,0.031
0.6,7.5,-0.333,0.034
0.62,7.5,-0.349,0.038
0.64,7.5,-0.36,0.041
0.66,7.5,-0.365,0.044
0.68,7.5,-0.37,0.048
0.7,7.5,-0.365,0.052
0.72,7.5,-0.356,0.055
0.74,7.5,-0.344,0.059
0.76,7.5,-0.325,0.062
0.78,7.5,-0.305,0.066
0.8,7.5,-0.279,0.07
0.82,7.5,-0.25,0.073
0.84,7.5,-0.216,0.077
0.86,7.5,-0.178,0.081
0.88,7.5,-0.141,0.084
0.9,7.5,-0.105,0.088
0.92,7.5,-0.065,0.092
0.94,7.5,-0.026,0.096
0.96,7.5,0.017,0.1
0.98,7.5,0.059,0.103
1.0,7.5,0.099,0.107
1.02,7.5,0.136,0.111
1.04,7.5,0.173,0.115
1.06,7.5,0.209,0.118
1.08,7.5,0.243,0.122
1.1,7.5,0.269,0.126
1.12,7.5,0.295,0.13
1.14,7.5,0.312,0.133
1.16,7.5,0.332,0.137
1.18,7.5,0.342,0.141
1.2,7.5,0.349,0.145
1.22,7.5,0.353,0.148
