Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
0.755,0.222,4.023,3.0
0.76,0.191,4.072,3.0
0.765,0.2,4.06,3.0
0.77,0.234,4.033,3.0
0.775,0.221,4.078,3.0
0.78,0.177,4.115,3.0
0.785,0.192,4.122,3.0
0.79,0.222,4.113,3.0
0.795,0.218,4.148,3.0
0.8,0.172,4.185,3.0
0.805,0.186,4.18,3.0
0.81,0.216,4.14,3.0
0.815,0.206,4.207,3.0
0.82,0.179,4.243,3.0
0.825,0.18,4.215,3.0
0.83,0.2,4.238,3.0
0.835,0.206,4.22,3.0
0.84,0.181,4.298,3.0
0.845,0.168,4.302,3.0
0.85,0.177,4.253,3.0
0.855,0.205,4.27,3.0
0.86,0.197,4.293,3.0
0.865,0.172,4.347,3.0
0.87,0.168,4.32,3.0
0.875,0.195,4.322,3.0
0.88,0.188,4.3,3.0
0.885,0.194,4.387,3.0
0.89,0.153,4.36,3.0
0.895,0.17,4.345,3.0
0.9,0.193,4.35,3.0
0.905,0.187,4.33,3.0
0.91,0.187,4.425,3.0
0.915,0.15,4.392,3.0
0.92,0.169,4.387,3.0
0.925,0.191,4.372,3.0
0.93,0.186,4.365,3.0
0.935,0.184,4.455,3.0
0.94,0.147,4.408,3.0
0.945,0.167,4.405,3.0
0.95,0.186,4.412,3.0
0.955,0.181,4.372,3.0
0.96,0.191,4.477,3.0
0.965,0.147,4.452,3.0
0.97,0.157,4.418,3.0
0.975,0.183,4.432,3.0
0.98,0.176,4.42,3.0
0.985,0.183,4.452,3.0
0.99,0.159,4.483,3.0
0.995,0.153,4.483,3.0
1.0,0.162,4.42,3.0
1.005,0.19,4.435,3.0
1.01,0.185,4.463,3.0
1.015,0.155,4.48,3.0
1.02,0.144,4.495,3.0
1.025,0.162,4.467,3.0
1.03,0.179,4.425,3.0
1.035,0.179,4.443,3.0
1.04,0.185,4.532,3.0
1.045,0.14,4.503,3.0
1.05,0.155,4.47,3.0
1.055,0.166,4.463,3.0
1.06,0.185,4.472,3.0
1.065,0.175,4.483,3.0
1.07,0.153,4.497,3.0
1.075,0.146,4.538,3.0
1.08,0.154,4.5,3.0
1.085,0.181,4.457,3.0
1.09,0.174,4.465,3.0
1.095,0.183,4.562,3.0
1.1,0.146,4.532,3.0
1.105,0.148,4.497,3.0
1.11,0.162,4.472,3.0
1.115,0.188,4.493,3.0
1.12,0.177,4.505,3.0
1.125,0.154,4.535,3.0
1.13,0.137,4.528,3.0
1.135,0.16,4.512,3.0
1.14,0.171,4.507,3.0
1.145,0.17,4.477,3.0
1.15,0.172,4.523,3.0
1.155,0.152,4.543,3.0
1.16,0.147,4.57,3.0
1.165,0.149,4.503,3.0
1.17,0.18,4.47,3.0
1.175,0.174,4.5,3.0
1.18,0.179,4.577,3.0
1.185,0.141,4.555,3.0
