Tiempo ,CORRIENT,VELOCIDA,ENTRADA
  0.000, 0.019, 0.027, 0.000
  0.005, 0.019, 0.020, 0.000
  0.010, 0.019, 0.025, 0.000
  0.015, 0.019, 0.027, 0.000
  0.020, 0.019, 0.027, 0.000
  0.025, 0.019, 0.032, 0.000
  0.030, 0.019, 0.032, 0.000
  0.035, 0.020, 0.035, 0.000
  0.040, 0.019, 0.030, 0.000
  0.045, 0.020, 0.027, 0.000
  0.050, 0.019, 0.022, 0.000
  0.055, 0.019, 0.020, 0.000
  0.060, 0.019, 0.018, 0.000
  0.065, 0.019, 0.020, 0.000
  0.070, 0.018, 0.020, 0.000
  0.075, 0.019, 0.025, 0.000
  0.080, 0.019, 0.027, 0.000
  0.085, 0.019, 0.027, 0.000
  0.090, 0.019, 0.032, 0.000
  0.095, 0.019, 0.032, 0.000
  0.100, 0.019, 0.030, 0.000
  0.105, 0.019, 0.030, 0.000
  0.110, 0.019, 0.030, 0.000
  0.115, 0.020, 0.025, 0.000
  0.120, 0.019, 0.020, 0.000
  0.125, 0.020, 0.020, 0.000
  0.130, 0.019, 0.018, 0.000
  0.135, 0.020, 0.020, 0.000
  0.140, 0.019, 0.022, 0.000
  0.145, 0.020, 0.020, 0.000
  0.150, 0.019, 0.020, 0.000
  0.155, 0.019, 0.025, 0.000
  0.160, 0.018, 0.030, 0.000
  0.165, 0.019, 0.030, 0.000
  0.170, 0.018, 0.030, 0.000
  0.175, 0.019, 0.032, 0.000
  0.180, 0.019, 0.032, 0.000
  0.185, 0.019, 0.032, 0.000
  0.190, 0.019, 0.030, 0.000
  0.195, 0.020, 0.030, 0.000
  0.200, 0.019, 0.027, 0.000
  0.205, 0.020, 0.022, 0.000
  0.210, 0.019, 0.020, 0.000
  0.215, 0.020, 0.018, 0.000
  0.220, 0.019, 0.020, 0.000
  0.225, 0.020, 0.020, 0.000
  0.230, 0.019, 0.018, 0.000
  0.235, 0.019, 0.020, 0.000
  0.240, 0.019, 0.025, 0.000
  0.245, 0.020, 0.030, 0.000
  0.250, 0.019, 0.030, 0.000
  0.255, 0.019, 0.030, 0.000
  0.260, 0.019, 0.032, 0.000
  0.265, 0.019, 0.032, 0.000
  0.270, 0.019, 0.032, 0.000
  0.275, 0.019, 0.030, 0.000
  0.280, 0.019, 0.030, 0.000
  0.285, 0.019, 0.030, 0.000
  0.290, 0.019, 0.030, 0.000
  0.295, 0.019, 0.030, 0.000
  0.300, 0.020, 0.032, 0.000
  0.305, 0.019, 0.030, 0.000
  0.310, 0.019, 0.030, 0.000
  0.315, 0.019, 0.030, 0.000
  0.320, 0.019, 0.030, 0.000
  0.325, 0.019, 0.032, 0.000
  0.330, 0.020, 0.030, 0.000
  0.335, 0.019, 0.030, 0.000
  0.340, 0.019, 0.032, 0.000
  0.345, 0.019, 0.030, 0.000
  0.350, 0.020, 0.030, 0.000
  0.355, 0.019, 0.030, 0.000
  0.360, 0.020, 0.032, 0.000
  0.365, 0.020, 0.030, 0.000
  0.370, 0.020, 0.030, 0.000
  0.375, 0.019, 0.035, 0.000
  0.380, 0.019, 0.032, 0.000
  0.385, 0.018, 0.032, 0.000
  0.390, 0.019, 0.030, 0.000
  0.395, 0.019, 0.030, 0.000
  0.400, 0.020, 0.030, 0.000
  0.405, 0.019, 0.032, 0.000
  0.410, 0.020, 0.030, 0.000
  0.415, 0.020, 0.032, 0.000
  0.420, 0.020, 0.032, 0.000
  0.425, 0.020, 0.030, 0.000
  0.430, 0.019, 0.032, 0.000
  0.435, 0.019, 0.032, 0.000
  0.440, 0.019, 0.032, 0.000
  0.445, 0.020, 0.030, 0.000
  0.450, 0.019, 0.032, 0.000
  0.455, 0.019, 0.035, 0.000
  0.460, 0.019, 0.032, 0.000
  0.465, 0.020, 0.032, 0.000
  0.470, 0.019, 0.032, 0.000
  0.475, 0.020, 0.032, 0.000
  0.480, 0.020, 0.030, 0.000
  0.485, 0.020, 0.032, 0.000
  0.490, 0.019, 0.035, 0.000
  0.495, 0.019, 0.032, 0.000
  0.500, 0.019, 0.032, 0.000
  0.505, 0.020, 0.032, 0.000
  0.510, 0.472, 0.040, 3.000
  0.515, 0.596, 0.425, 3.000
  0.520, 0.558, 0.810, 3.000
  0.525, 0.522, 1.105, 3.000
  0.530, 0.498, 1.357, 3.000
  0.535, 0.483, 1.535, 3.000
  0.540, 0.458, 1.723, 3.000
  0.545, 0.447, 1.898, 3.000
  0.550, 0.435, 1.980, 3.000
  0.555, 0.427, 2.138, 3.000
  0.560, 0.419, 2.213, 3.000
  0.565, 0.413, 2.295, 3.000
  0.570, 0.377, 2.420, 3.000
  0.575, 0.392, 2.475, 3.000
  0.580, 0.357, 2.615, 3.000
  0.585, 0.366, 2.660, 3.000
  0.590, 0.345, 2.738, 3.000
  0.595, 0.350, 2.803, 3.000
  0.600, 0.326, 2.882, 3.000
  0.605, 0.343, 2.900, 3.000
  0.610, 0.306, 3.017, 3.000
  0.615, 0.337, 3.062, 3.000
  0.620, 0.307, 3.155, 3.000
  0.625, 0.306, 3.162, 3.000
  0.630, 0.315, 3.230, 3.000
  0.635, 0.286, 3.307, 3.000
  0.640, 0.302, 3.290, 3.000
  0.645, 0.281, 3.360, 3.000
  0.650, 0.280, 3.395, 3.000
  0.655, 0.292, 3.447, 3.000
  0.660, 0.258, 3.480, 3.000
  0.665, 0.284, 3.533, 3.000
  0.670, 0.285, 3.553, 3.000
  0.675, 0.252, 3.632, 3.000
  0.680, 0.281, 3.580, 3.000
  0.685, 0.269, 3.690, 3.000
  0.690, 0.242, 3.735, 3.000
  0.695, 0.270, 3.690, 3.000
  0.700, 0.264, 3.760, 3.000
  0.705, 0.231, 3.812, 3.000
  0.710, 0.255, 3.810, 3.000
  0.715, 0.245, 3.850, 3.000
  0.720, 0.208, 3.887, 3.000
  0.725, 0.226, 3.865, 3.000
  0.730, 0.242, 3.872, 3.000
  0.735, 0.217, 3.960, 3.000
  0.740, 0.213, 3.970, 3.000
  0.745, 0.238, 3.960, 3.000
  0.750, 0.235, 4.003, 3.000
  0.755, 0.198, 4.050, 3.000
  0.760, 0.214, 4.033, 3.000
  0.765, 0.240, 4.023, 3.000
  0.770, 0.231, 4.065, 3.000
  0.775, 0.189, 4.080, 3.000
  0.780, 0.201, 4.082, 3.000
  0.785, 0.228, 4.095, 3.000
  0.790, 0.228, 4.148, 3.000
  0.795, 0.182, 4.135, 3.000
  0.800, 0.197, 4.142, 3.000
  0.805, 0.221, 4.145, 3.000
  0.810, 0.214, 4.175, 3.000
  0.815, 0.176, 4.218, 3.000
  0.820, 0.196, 4.200, 3.000
  0.825, 0.221, 4.160, 3.000
  0.830, 0.213, 4.227, 3.000
  0.835, 0.186, 4.250, 3.000
  0.840, 0.182, 4.245, 3.000
  0.845, 0.204, 4.247, 3.000
  0.850, 0.200, 4.225, 3.000
  0.855, 0.199, 4.327, 3.000
  0.860, 0.163, 4.290, 3.000
  0.865, 0.182, 4.298, 3.000
  0.870, 0.208, 4.243, 3.000
  0.875, 0.203, 4.312, 3.000
  0.880, 0.174, 4.327, 3.000
  0.885, 0.169, 4.367, 3.000
  0.890, 0.183, 4.293, 3.000
  0.895, 0.196, 4.327, 3.000
  0.900, 0.198, 4.342, 3.000
  0.905, 0.172, 4.380, 3.000
  0.910, 0.167, 4.358, 3.000
  0.915, 0.191, 4.360, 3.000
  0.920, 0.191, 4.342, 3.000
  0.925, 0.192, 4.392, 3.000
  0.930, 0.158, 4.423, 3.000
  0.935, 0.164, 4.378, 3.000
  0.940, 0.190, 4.387, 3.000
  0.945, 0.184, 4.363, 3.000
  0.950, 0.194, 4.420, 3.000
  0.955, 0.162, 4.435, 3.000
  0.960, 0.162, 4.403, 3.000
  0.965, 0.181, 4.400, 3.000
  0.970, 0.189, 4.398, 3.000
  0.975, 0.184, 4.423, 3.000
  0.980, 0.164, 4.465, 3.000
  0.985, 0.157, 4.463, 3.000
  0.990, 0.169, 4.398, 3.000
  0.995, 0.196, 4.425, 3.000
  1.000, 0.184, 4.440, 3.000
  1.005, 0.164, 4.445, 3.000
  1.010, 0.154, 4.490, 3.000
  1.015, 0.164, 4.432, 3.000
  1.020, 0.196, 4.383, 3.000
  1.025, 0.189, 4.452, 3.000
  1.030, 0.172, 4.512, 3.000
  1.035, 0.142, 4.455, 3.000
  1.040, 0.169, 4.450, 3.000
  1.045, 0.184, 4.460, 3.000
  1.050, 0.178, 4.423, 3.000
  1.055, 0.189, 4.485, 3.000
  1.060, 0.155, 4.507, 3.000
  1.065, 0.155, 4.490, 3.000
  1.070, 0.164, 4.430, 3.000
  1.075, 0.194, 4.457, 3.000
  1.080, 0.186, 4.487, 3.000
  1.085, 0.156, 4.493, 3.000
  1.090, 0.145, 4.505, 3.000
  1.095, 0.162, 4.493, 3.000
  1.100, 0.181, 4.465, 3.000
  1.105, 0.176, 4.443, 3.000
  1.110, 0.185, 4.525, 3.000
  1.115, 0.152, 4.528, 3.000
  1.120, 0.154, 4.500, 3.000
  1.125, 0.164, 4.457, 3.000
  1.130, 0.193, 4.470, 3.000
